algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,mediaMs,menorMs,maiorMs,speedup,eficiencia,todosOrdenadosCorretamente
Insertion Sort,Serial,1,1000,ORDENADA,8.8E-4,8.0E-4,0.0012,1.0,1.0,true
Quick Sort,Serial,1,1000,ORDENADA,0.40625999999999995,0.3672,0.4817,1.0,1.0,true
Merge Sort,Serial,1,1000,ORDENADA,0.023719999999999998,0.0202,0.0325,1.0,1.0,true
Bubble Sort,Paralelo,1,1000,ORDENADA,6.8E-4,3.0E-4,0.0019,1.3823529411764706,1.3823529411764706,true
Bubble Sort,Paralelo,2,1000,ORDENADA,0.31198000000000004,0.1773,0.4436,0.0030130136547214565,0.0015065068273607282,true
Bubble Sort,Paralelo,4,1000,ORDENADA,0.8433999999999999,0.3243,2.3226,0.0011145364002845626,2.7863410007114065E-4,true
Bubble Sort,Paralelo,8,1000,ORDENADA,0.57966,0.4915,0.6725,0.0016216402718835182,2.0270503398543978E-4,true
Insertion Sort,Paralelo,1,1000,ORDENADA,0.0019199999999999998,9.0E-4,0.0038,0.45833333333333337,0.45833333333333337,true
Insertion Sort,Paralelo,2,1000,ORDENADA,0.36776,0.218,0.5767,0.0023928649118990647,0.0011964324559495323,true
Insertion Sort,Paralelo,4,1000,ORDENADA,0.29254,0.2392,0.3759,0.0030081356395706567,7.520339098926642E-4,true
Insertion Sort,Paralelo,8,1000,ORDENADA,0.61754,0.4934,0.7456,0.0014250089063056646,1.7812611328820807E-4,true
Quick Sort,Paralelo,1,1000,ORDENADA,0.57584,0.4978,0.6638,0.7055084745762711,0.7055084745762711,true
Quick Sort,Paralelo,2,1000,ORDENADA,0.5745199999999999,0.5587,0.5964,0.7071294297848639,0.35356471489243196,true
Quick Sort,Paralelo,4,1000,ORDENADA,0.5758,0.4744,0.6574,0.7055574852379298,0.17638937130948246,true
Quick Sort,Paralelo,8,1000,ORDENADA,0.5136,0.4666,0.5582,0.7910046728971962,0.09887558411214953,true
Merge Sort,Paralelo,1,1000,ORDENADA,0.26756,0.1678,0.4354,0.08865301240843174,0.08865301240843174,true
Merge Sort,Paralelo,2,1000,ORDENADA,0.19466,0.1466,0.2776,0.12185348813315523,0.060926744066577616,true
Merge Sort,Paralelo,4,1000,ORDENADA,0.1881,0.1452,0.2423,0.1261031366294524,0.0315257841573631,true
Merge Sort,Paralelo,8,1000,ORDENADA,0.25222,0.1862,0.299,0.09404488145270001,0.011755610181587502,true
Bubble Sort,Serial,1,5000,ORDENADA,0.00104,9.0E-4,0.0015,1.0,1.0,true
Insertion Sort,Serial,1,5000,ORDENADA,0.00414,0.004,0.0047,1.0,1.0,true
Quick Sort,Serial,1,5000,ORDENADA,9.083899999999998,8.7005,9.5814,1.0,1.0,true
Merge Sort,Serial,1,5000,ORDENADA,0.10901999999999998,0.1054,0.1122,1.0,1.0,true
Bubble Sort,Paralelo,1,5000,ORDENADA,0.0013599999999999999,9.0E-4,0.0027,0.7647058823529411,0.7647058823529411,true
Bubble Sort,Paralelo,2,5000,ORDENADA,0.23312,0.1861,0.3464,0.004461221688400823,0.0022306108442004115,true
Bubble Sort,Paralelo,4,5000,ORDENADA,0.32646000000000003,0.2595,0.5002,0.0031856889052257545,7.964222263064386E-4,true
Bubble Sort,Paralelo,8,5000,ORDENADA,0.94054,0.5043,2.6247,0.001105747761924001,1.3821847024050011E-4,true
Insertion Sort,Paralelo,1,5000,ORDENADA,0.0047,0.0037,0.007,0.8808510638297871,0.8808510638297871,true
Insertion Sort,Paralelo,2,5000,ORDENADA,0.20304000000000003,0.1584,0.292,0.02039007092198581,0.010195035460992905,true
Insertion Sort,Paralelo,4,5000,ORDENADA,0.34398000000000006,0.2912,0.4347,0.012035583464154889,0.0030088958660387222,true
Insertion Sort,Paralelo,8,5000,ORDENADA,0.61992,0.5303,0.8055,0.00667828106852497,8.347851335656212E-4,true
Quick Sort,Paralelo,1,5000,ORDENADA,6.956440000000001,6.6094,7.3906,1.305825968455129,1.305825968455129,true
Quick Sort,Paralelo,2,5000,ORDENADA,7.535860000000001,6.9432,8.2223,1.2054231368417136,0.6027115684208568,true
Quick Sort,Paralelo,4,5000,ORDENADA,6.92606,6.6704,7.3014,1.3115537549487009,0.3278884387371752,true
Quick Sort,Paralelo,8,5000,ORDENADA,6.99262,6.6366,7.3803,1.2990695905111387,0.16238369881389234,true
Merge Sort,Paralelo,1,5000,ORDENADA,0.28304,0.2368,0.3797,0.385175240248728,0.385175240248728,true
Merge Sort,Paralelo,2,5000,ORDENADA,0.3611,0.2668,0.5727,0.30191082802547764,0.15095541401273882,true
Merge Sort,Paralelo,4,5000,ORDENADA,0.33226,0.3046,0.393,0.32811653524348394,0.08202913381087099,true
Merge Sort,Paralelo,8,5000,ORDENADA,0.26076,0.2181,0.2929,0.41808559595029904,0.05226069949378738,true
Bubble Sort,Serial,1,10000,ORDENADA,0.0018,0.0017,0.0022,1.0,1.0,true
Insertion Sort,Serial,1,10000,ORDENADA,0.0070999999999999995,0.0069,0.0076,1.0,1.0,true
Quick Sort,Serial,1,10000,ORDENADA,34.82134,33.9407,35.671,1.0,1.0,true
Merge Sort,Serial,1,10000,ORDENADA,0.23141999999999996,0.2177,0.2418,1.0,1.0,true
Bubble Sort,Paralelo,1,10000,ORDENADA,0.0021999999999999997,0.0018,0.0037,0.8181818181818182,0.8181818181818182,true
Bubble Sort,Paralelo,2,10000,ORDENADA,0.23286,0.1916,0.3038,0.007729966503478484,0.003864983251739242,true
Bubble Sort,Paralelo,4,10000,ORDENADA,0.49962,0.3492,0.7001,0.0036027380809415155,9.006845202353789E-4,true
Bubble Sort,Paralelo,8,10000,ORDENADA,0.7659600000000001,0.5914,1.1017,0.002349992166692777,2.9374902083659715E-4,true
Insertion Sort,Paralelo,1,10000,ORDENADA,0.007680000000000001,0.0073,0.0089,0.9244791666666665,0.9244791666666665,true
Insertion Sort,Paralelo,2,10000,ORDENADA,0.22203999999999996,0.1966,0.2844,0.03197622050081067,0.015988110250405335,true
Insertion Sort,Paralelo,4,10000,ORDENADA,0.40076,0.3527,0.4319,0.01771633895598363,0.004429084738995908,true
Insertion Sort,Paralelo,8,10000,ORDENADA,0.7715799999999999,0.4251,2.0646,0.009201897405324141,0.0011502371756655176,true
Quick Sort,Paralelo,1,10000,ORDENADA,27.042760000000005,26.3995,27.9781,1.287640018992144,1.287640018992144,true
Quick Sort,Paralelo,2,10000,ORDENADA,25.98292,24.8573,27.2513,1.3401626914911795,0.6700813457455898,true
Quick Sort,Paralelo,4,10000,ORDENADA,26.363899999999994,24.6561,28.0707,1.3207962403134592,0.3301990600783648,true
Quick Sort,Paralelo,8,10000,ORDENADA,25.4435,25.0086,26.2482,1.3685750781142532,0.17107188476428165,true
Merge Sort,Paralelo,1,10000,ORDENADA,0.41806,0.3681,0.5675,0.5535569057073146,0.5535569057073146,true
Merge Sort,Paralelo,2,10000,ORDENADA,0.38994,0.3508,0.4252,0.593475919372211,0.2967379596861055,true
Merge Sort,Paralelo,4,10000,ORDENADA,0.45861999999999997,0.4242,0.4875,0.5046007587981335,0.12615018969953337,true
Merge Sort,Paralelo,8,10000,ORDENADA,0.40236,0.3558,0.4406,0.5751565762004175,0.07189457202505219,true
Bubble Sort,Serial,1,1000,QUASE_ORDENADA,0.19590000000000002,0.1811,0.2125,1.0,1.0,true
Insertion Sort,Serial,1,1000,QUASE_ORDENADA,0.012080000000000002,0.0076,0.0211,1.0,1.0,true
Quick Sort,Serial,1,1000,QUASE_ORDENADA,0.05134,0.0364,0.0775,1.0,1.0,true
Merge Sort,Serial,1,1000,QUASE_ORDENADA,0.035660000000000004,0.0284,0.0422,1.0,1.0,true
Bubble Sort,Paralelo,1,1000,QUASE_ORDENADA,0.19422,0.1827,0.2044,1.008649984553599,1.008649984553599,true
Bubble Sort,Paralelo,2,1000,QUASE_ORDENADA,0.3492,0.266,0.6213,0.5609965635738832,0.2804982817869416,true
Bubble Sort,Paralelo,4,1000,QUASE_ORDENADA,0.40571999999999997,0.3097,0.4672,0.4828453120378587,0.12071132800946467,true
Bubble Sort,Paralelo,8,1000,QUASE_ORDENADA,0.5271,0.3954,0.6689,0.3716562322140012,0.04645702902675015,true
Insertion Sort,Paralelo,1,1000,QUASE_ORDENADA,0.0108,0.01,0.0127,1.1185185185185187,1.1185185185185187,true
Insertion Sort,Paralelo,2,1000,QUASE_ORDENADA,0.55072,0.1944,1.5903,0.02193492155723417,0.010967460778617086,true
Insertion Sort,Paralelo,4,1000,QUASE_ORDENADA,0.27993999999999997,0.2544,0.318,0.043152104022290506,0.010788026005572627,true
Insertion Sort,Paralelo,8,1000,QUASE_ORDENADA,0.49166,0.4179,0.5421,0.024569824675588825,0.003071228084448603,true
Quick Sort,Paralelo,1,1000,QUASE_ORDENADA,0.2105,0.148,0.3095,0.243895486935867,0.243895486935867,true
Quick Sort,Paralelo,2,1000,QUASE_ORDENADA,0.21444000000000002,0.1555,0.2799,0.23941428837903372,0.11970714418951686,true
Quick Sort,Paralelo,4,1000,QUASE_ORDENADA,0.20614,0.1924,0.2244,0.24905404094304842,0.062263510235762105,true
Quick Sort,Paralelo,8,1000,QUASE_ORDENADA,0.27578,0.2164,0.4246,0.18616288345782867,0.023270360432228583,true
Merge Sort,Paralelo,1,1000,QUASE_ORDENADA,0.19640000000000005,0.1446,0.2722,0.18156822810590628,0.18156822810590628,true
Merge Sort,Paralelo,2,1000,QUASE_ORDENADA,0.16469999999999999,0.1401,0.1876,0.21651487553126902,0.10825743776563451,true
Merge Sort,Paralelo,4,1000,QUASE_ORDENADA,0.26492,0.232,0.3057,0.13460667371281898,0.033651668428204745,true
Merge Sort,Paralelo,8,1000,QUASE_ORDENADA,0.23608,0.1747,0.2965,0.15105049135886142,0.018881311419857678,true
Bubble Sort,Serial,1,5000,QUASE_ORDENADA,4.1315,3.9267,4.3558,1.0,1.0,true
