algoritmo,versao,threads,tamanhoEntrada,tipoEntrada,amostra,tempoMs,score,ordenadoCorretamente
"Quick Sort","Serial",1,5000,"ALEATORIA",3,0.2481,9911.166198469587,true
"Quick Sort","Serial",1,5000,"ALEATORIA",4,0.2174,10000.0,true
"Quick Sort","Serial",1,5000,"ALEATORIA",5,0.2069,10000.0,true
"Merge Sort","Serial",1,5000,"ALEATORIA",1,2.1103,7770.785044897839,true
"Merge Sort","Serial",1,5000,"ALEATORIA",2,2.0819,7784.32854645455,true
"Merge Sort","Serial",1,5000,"ALEATORIA",3,1.7651,7949.338803115242,true
"Merge Sort","Serial",1,5000,"ALEATORIA",4,1.5957,8050.199769067655,true
"Merge Sort","Serial",1,5000,"ALEATORIA",5,0.8555,8673.433462430192,true
"Bubble Sort","Paralelo",1,5000,"ALEATORIA",1,12.666,5980.801950179206,true
"Bubble Sort","Paralelo",1,5000,"ALEATORIA",2,13.8506,5891.630928710061,true
"Bubble Sort","Paralelo",1,5000,"ALEATORIA",3,13.7443,5899.314087499704,true
"Bubble Sort","Paralelo",1,5000,"ALEATORIA",4,12.7324,5975.58650880118,true
"Bubble Sort","Paralelo",1,5000,"ALEATORIA",5,13.2302,5937.333641645033,true
"Bubble Sort","Paralelo",2,5000,"ALEATORIA",1,3.5966,7237.923298080644,true
"Bubble Sort","Paralelo",2,5000,"ALEATORIA",2,3.7747,7189.626937247987,true
"Bubble Sort","Paralelo",2,5000,"ALEATORIA",3,3.8096,7180.430624552086,true
"Bubble Sort","Paralelo",2,5000,"ALEATORIA",4,3.363,7305.0321325641,true
"Bubble Sort","Paralelo",2,5000,"ALEATORIA",5,3.5302,7256.544455723212,true
"Bubble Sort","Paralelo",4,5000,"ALEATORIA",1,1.7506,7957.584663822332,true
"Bubble Sort","Paralelo",4,5000,"ALEATORIA",2,1.5124,8103.797832643744,true
"Bubble Sort","Paralelo",4,5000,"ALEATORIA",3,1.558,8074.101795430483,true
"Bubble Sort","Paralelo",4,5000,"ALEATORIA",4,1.7145,7978.41453971863,true
"Bubble Sort","Paralelo",4,5000,"ALEATORIA",5,2.2357,7713.085853344861,true
"Bubble Sort","Paralelo",8,5000,"ALEATORIA",1,2.2995,7684.961277696803,true
"Bubble Sort","Paralelo",8,5000,"ALEATORIA",2,1.6714,8003.865816971927,true
"Bubble Sort","Paralelo",8,5000,"ALEATORIA",3,1.7117,7980.048444111788,true
"Bubble Sort","Paralelo",8,5000,"ALEATORIA",4,1.5706,8066.049550132241,true
"Bubble Sort","Paralelo",8,5000,"ALEATORIA",5,2.1632,7746.037130988029,true
"Insertion Sort","Paralelo",1,5000,"ALEATORIA",1,0.9992,8518.193331621653,true
"Insertion Sort","Paralelo",1,5000,"ALEATORIA",2,1.0584,8460.646515196579,true
"Insertion Sort","Paralelo",1,5000,"ALEATORIA",3,1.6705,8004.404252802587,true
"Insertion Sort","Paralelo",1,5000,"ALEATORIA",4,1.1395,8386.831495747376,true
"Insertion Sort","Paralelo",1,5000,"ALEATORIA",5,1.0218,8495.831752623017,true
"Insertion Sort","Paralelo",2,5000,"ALEATORIA",1,0.8584,8670.049944346561,true
"Insertion Sort","Paralelo",2,5000,"ALEATORIA",2,0.7518,8802.628487965365,true
"Insertion Sort","Paralelo",2,5000,"ALEATORIA",3,0.6685,8920.045764919329,true
"Insertion Sort","Paralelo",2,5000,"ALEATORIA",4,0.644,8957.378536000013,true
"Insertion Sort","Paralelo",2,5000,"ALEATORIA",5,0.5538,9108.255613528077,true
"Insertion Sort","Paralelo",4,5000,"ALEATORIA",1,0.5772,9066.875076835975,true
"Insertion Sort","Paralelo",4,5000,"ALEATORIA",2,0.4884,9233.911403391443,true
"Insertion Sort","Paralelo",4,5000,"ALEATORIA",3,0.5385,9136.268668002704,true
"Insertion Sort","Paralelo",4,5000,"ALEATORIA",4,0.5114,9187.898682311046,true
"Insertion Sort","Paralelo",4,5000,"ALEATORIA",5,0.5824,9057.90744673263,true
"Insertion Sort","Paralelo",8,5000,"ALEATORIA",1,1.1998,8335.278246393586,true
"Insertion Sort","Paralelo",8,5000,"ALEATORIA",2,1.6185,8036.0170446525335,true
"Insertion Sort","Paralelo",8,5000,"ALEATORIA",3,1.8488,7903.026103093822,true
"Insertion Sort","Paralelo",8,5000,"ALEATORIA",4,1.0452,8473.1939549061,true
"Insertion Sort","Paralelo",8,5000,"ALEATORIA",5,1.0715,8448.347932525778,true
"Quick Sort","Paralelo",1,5000,"ALEATORIA",1,0.6836,8897.712229811612,true
"Quick Sort","Paralelo",1,5000,"ALEATORIA",2,0.5438,9126.475692286063,true
"Quick Sort","Paralelo",1,5000,"ALEATORIA",3,0.5306,9151.046143064406,true
"Quick Sort","Paralelo",1,5000,"ALEATORIA",4,0.4701,9272.097047948688,true
"Quick Sort","Paralelo",1,5000,"ALEATORIA",5,0.4858,9239.248609110575,true
"Quick Sort","Paralelo",2,5000,"ALEATORIA",1,0.5955,9035.666174511178,true
"Quick Sort","Paralelo",2,5000,"ALEATORIA",2,0.442,9333.726984413626,true
"Quick Sort","Paralelo",2,5000,"ALEATORIA",3,0.5241,9163.370779097022,true
"Quick Sort","Paralelo",2,5000,"ALEATORIA",4,0.4198,9385.254019487398,true
"Quick Sort","Paralelo",2,5000,"ALEATORIA",5,0.4185,9388.355276966195,true
"Quick Sort","Paralelo",4,5000,"ALEATORIA",1,0.4755,9260.67668389121,true
"Quick Sort","Paralelo",4,5000,"ALEATORIA",2,0.4466,9323.374447003524,true
"Quick Sort","Paralelo",4,5000,"ALEATORIA",3,0.4885,9233.706694143204,true
"Quick Sort","Paralelo",4,5000,"ALEATORIA",4,0.5422,9129.421967454618,true
"Quick Sort","Paralelo",4,5000,"ALEATORIA",5,0.5283,9155.38982064648,true
"Quick Sort","Paralelo",8,5000,"ALEATORIA",1,0.6124,9007.685279114783,true
"Quick Sort","Paralelo",8,5000,"ALEATORIA",2,0.5507,9113.868408064975,true
"Quick Sort","Paralelo",8,5000,"ALEATORIA",3,0.5182,9174.690836900112,true
"Quick Sort","Paralelo",8,5000,"ALEATORIA",4,0.6633,8927.853745068305,true
"Quick Sort","Paralelo",8,5000,"ALEATORIA",5,0.4947,9221.095887270472,true
"Merge Sort","Paralelo",1,5000,"ALEATORIA",1,0.9297,8590.272439651864,true
"Merge Sort","Paralelo",1,5000,"ALEATORIA",2,0.6378,8967.051267687331,true
"Merge Sort","Paralelo",1,5000,"ALEATORIA",3,0.5319,9148.599342992151,true
"Merge Sort","Paralelo",1,5000,"ALEATORIA",4,0.5776,9066.182396147837,true
"Merge Sort","Paralelo",1,5000,"ALEATORIA",5,0.6047,9020.336935806554,true
"Merge Sort","Paralelo",2,5000,"ALEATORIA",1,0.6439,8957.533807562804,true
"Merge Sort","Paralelo",2,5000,"ALEATORIA",2,0.6065,9017.365034658018,true
"Merge Sort","Paralelo",2,5000,"ALEATORIA",3,0.4886,9233.502026800446,true
"Merge Sort","Paralelo",2,5000,"ALEATORIA",4,0.4988,9212.843011616797,true
"Merge Sort","Paralelo",2,5000,"ALEATORIA",5,0.471,9270.184571945416,true
"Merge Sort","Paralelo",4,5000,"ALEATORIA",1,0.5556,9105.010973344817,true
"Merge Sort","Paralelo",4,5000,"ALEATORIA",2,0.4964,9217.66569213999,true
"Merge Sort","Paralelo",4,5000,"ALEATORIA",3,0.4577,9298.826058549248,true
"Merge Sort","Paralelo",4,5000,"ALEATORIA",4,0.5642,9089.652505464524,true
"Merge Sort","Paralelo",4,5000,"ALEATORIA",5,0.7754,8771.724513137884,true
"Merge Sort","Paralelo",8,5000,"ALEATORIA",1,0.9032,8619.185081249481,true
"Merge Sort","Paralelo",8,5000,"ALEATORIA",2,0.5808,9060.658160141738,true
"Merge Sort","Paralelo",8,5000,"ALEATORIA",3,0.6364,8969.248445835332,true
"Merge Sort","Paralelo",8,5000,"ALEATORIA",4,0.5472,9120.243538101913,true
"Merge Sort","Paralelo",8,5000,"ALEATORIA",5,0.7154,8852.249713338491,true
"Bubble Sort","Serial",1,10000,"ALEATORIA",1,78.2218,4858.5837362533675,true
"Bubble Sort","Serial",1,10000,"ALEATORIA",2,77.2503,4870.984917448156,true
"Bubble Sort","Serial",1,10000,"ALEATORIA",3,75.841,4889.256813762692,true
"Bubble Sort","Serial",1,10000,"ALEATORIA",4,75.5519,4893.0473271603605,true
"Bubble Sort","Serial",1,10000,"ALEATORIA",5,75.431,4894.636833953876,true
"Insertion Sort","Serial",1,10000,"ALEATORIA",1,3.5461,7944.846511072913,true
"Insertion Sort","Serial",1,10000,"ALEATORIA",2,3.6858,7906.221285651461,true
"Insertion Sort","Serial",1,10000,"ALEATORIA",3,3.5124,7954.39198580215,true
"Insertion Sort","Serial",1,10000,"ALEATORIA",4,3.6022,7929.155757191716,true
"Insertion Sort","Serial",1,10000,"ALEATORIA",5,3.6078,7927.602918619286,true
"Quick Sort","Serial",1,10000,"ALEATORIA",1,0.568,9776.03103062411,true
"Quick Sort","Serial",1,10000,"ALEATORIA",2,0.5377,9830.848635697133,true
"Quick Sort","Serial",1,10000,"ALEATORIA",3,0.5017,9900.14348820964,true
"Quick Sort","Serial",1,10000,"ALEATORIA",4,0.499,9905.539453961837,true
"Quick Sort","Serial",1,10000,"ALEATORIA",5,0.5037,9896.16516693819,true
"Merge Sort","Serial",1,10000,"ALEATORIA",1,0.7106,9552.05702484675,true
"Merge Sort","Serial",1,10000,"ALEATORIA",2,0.7119,9550.229386314604,true
"Merge Sort","Serial",1,10000,"ALEATORIA",3,0.6574,9629.868727567422,true
"Merge Sort","Serial",1,10000,"ALEATORIA",4,0.6697,9611.332767799926,true
"Merge Sort","Serial",1,10000,"ALEATORIA",5,0.6625,9622.141340903509,true
"Bubble Sort","Paralelo",1,10000,"ALEATORIA",1,77.0581,4873.4569610867,true
"Bubble Sort","Paralelo",1,10000,"ALEATORIA",2,75.9709,4887.558377190935,true
"Bubble Sort","Paralelo",1,10000,"ALEATORIA",3,75.7689,4890.200783301919,true
"Bubble Sort","Paralelo",1,10000,"ALEATORIA",4,74.8072,4902.879113122805,true
"Bubble Sort","Paralelo",1,10000,"ALEATORIA",5,76.8039,4876.735997819956,true
"Bubble Sort","Paralelo",2,10000,"ALEATORIA",1,11.9893,6727.523998483414,true
"Bubble Sort","Paralelo",2,10000,"ALEATORIA",2,11.7986,6743.538656123313,true
"Bubble Sort","Paralelo",2,10000,"ALEATORIA",3,14.1298,6563.466312344699,true
"Bubble Sort","Paralelo",2,10000,"ALEATORIA",4,12.298,6702.1327688603,true
"Bubble Sort","Paralelo",2,10000,"ALEATORIA",5,16.1223,6431.747896927174,true
"Bubble Sort","Paralelo",4,10000,"ALEATORIA",1,4.2302,7768.51402926411,true
"Bubble Sort","Paralelo",4,10000,"ALEATORIA",2,3.6441,7917.595294202787,true
"Bubble Sort","Paralelo",4,10000,"ALEATORIA",3,3.8445,7864.081192604118,true
"Bubble Sort","Paralelo",4,10000,"ALEATORIA",4,3.2482,8032.564142475222,true
"Bubble Sort","Paralelo",4,10000,"ALEATORIA",5,3.4831,7962.765919477198,true
"Bubble Sort","Paralelo",8,10000,"ALEATORIA",1,2.4455,8316.335291081432,true
"Bubble Sort","Paralelo",8,10000,"ALEATORIA",2,2.6591,8232.618526951315,true
"Bubble Sort","Paralelo",8,10000,"ALEATORIA",3,2.3498,8356.245106221371,true
"Bubble Sort","Paralelo",8,10000,"ALEATORIA",4,2.2533,8398.169868215253,true
"Bubble Sort","Paralelo",8,10000,"ALEATORIA",5,1.9753,8529.817596917883,true
"Insertion Sort","Paralelo",1,10000,"ALEATORIA",1,3.8064,7874.0370789846,true
"Insertion Sort","Paralelo",1,10000,"ALEATORIA",2,3.8234,7869.582559790089,true
"Insertion Sort","Paralelo",1,10000,"ALEATORIA",3,4.0947,7801.056303618097,true
"Insertion Sort","Paralelo",1,10000,"ALEATORIA",4,4.1447,7788.924346496311,true
"Insertion Sort","Paralelo",1,10000,"ALEATORIA",5,4.1508,7787.454279105324,true
"Insertion Sort","Paralelo",2,10000,"ALEATORIA",1,1.9937,8520.547513237982,true
"Insertion Sort","Paralelo",2,10000,"ALEATORIA",2,1.5193,8792.242587968405,true
"Insertion Sort","Paralelo",2,10000,"ALEATORIA",3,1.4344,8849.737158380864,true
"Insertion Sort","Paralelo",2,10000,"ALEATORIA",4,1.4972,8806.893383721124,true
"Insertion Sort","Paralelo",2,10000,"ALEATORIA",5,1.5261,8787.777508817768,true
"Insertion Sort","Paralelo",4,10000,"ALEATORIA",1,1.0944,9120.243538101913,true
"Insertion Sort","Paralelo",4,10000,"ALEATORIA",2,1.035,9176.042439903094,true
"Insertion Sort","Paralelo",4,10000,"ALEATORIA",3,1.1588,9063.071258349555,true
"Insertion Sort","Paralelo",4,10000,"ALEATORIA",4,1.0354,9175.656081130623,true
"Insertion Sort","Paralelo",4,10000,"ALEATORIA",5,1.1377,9081.445454941333,true
"Insertion Sort","Paralelo",8,10000,"ALEATORIA",1,1.4521,8837.474786879677,true
"Insertion Sort","Paralelo",8,10000,"ALEATORIA",2,1.3799,8888.467319681065,true
"Insertion Sort","Paralelo",8,10000,"ALEATORIA",3,0.7322,9522.11516759173,true
"Insertion Sort","Paralelo",8,10000,"ALEATORIA",4,1.238,8996.96699005119,true
"Insertion Sort","Paralelo",8,10000,"ALEATORIA",5,0.7472,9501.837481252285,true
"Quick Sort","Paralelo",1,10000,"ALEATORIA",1,0.9244,9289.04320828578,true
"Quick Sort","Paralelo",1,10000,"ALEATORIA",2,0.7418,9509.09016315163,true
"Quick Sort","Paralelo",1,10000,"ALEATORIA",3,0.6694,9611.780799940712,true
"Quick Sort","Paralelo",1,10000,"ALEATORIA",4,0.6887,9583.358756036238,true
"Quick Sort","Paralelo",1,10000,"ALEATORIA",5,0.677,9600.492075754502,true
"Quick Sort","Paralelo",2,10000,"ALEATORIA",1,0.8278,9399.406848217612,true
"Quick Sort","Paralelo",2,10000,"ALEATORIA",2,0.857,9364.743428688504,true
"Quick Sort","Paralelo",2,10000,"ALEATORIA",3,0.7838,9454.020142121237,true
"Quick Sort","Paralelo",2,10000,"ALEATORIA",4,0.9921,9218.370947381476,true
"Quick Sort","Paralelo",2,10000,"ALEATORIA",5,0.7576,9488.015866216807,true
"Quick Sort","Paralelo",4,10000,"ALEATORIA",1,0.8185,9410.704100797602,true
"Quick Sort","Paralelo",4,10000,"ALEATORIA",2,0.6564,9631.390929588173,true
"Quick Sort","Paralelo",4,10000,"ALEATORIA",3,0.7179,9541.837154799105,true
"Quick Sort","Paralelo",4,10000,"ALEATORIA",4,0.7278,9528.142143131925,true
"Quick Sort","Paralelo",4,10000,"ALEATORIA",5,0.655,9633.525913178037,true
"Quick Sort","Paralelo",8,10000,"ALEATORIA",1,0.8469,9376.59771344477,true
